,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
165,,The Reason,,['Hoobastank'],77loZpT5Y5PRP1S451P9Yz,0.472,0.671,4.0,-4.649,1.0,0.029,0.0129,0.0,0.159,0.0681,82.952,232800.0,4.0
166,,Más Que Tu Amigo,,['Marco Antonio Solís'],1Vy7WUJubV9JEoebuJ9dfe,0.786,0.604,0.0,-7.608,0.0,0.0413,0.221,0.0166,0.063,0.81,97.461,209507.0,4.0
167,,"Fantasia in D Minor, K. 397",,"['Wolfgang Amadeus Mozart', 'Alfred Brendel']",7IHEJdJhju1F2rhIiwgawx,0.382,0.0499,2.0,-25.262,1.0,0.0548,0.994,0.906,0.109,0.0779,125.903,316653.0,4.0
168,,Simple Man - Acoustic,,['Shinedown'],4VuKGQiCzE5BdSdvp6Hjoh,0.568,0.367,7.0,-8.15,1.0,0.0318,0.768,0.0,0.279,0.41,121.074,320267.0,4.0
169,,Hay Algo en Ti,,"['Luny Tunes', 'Noriega', 'Zion & Lennox', 'Tito ""El Bambino""']",15PxHZffHMndHQjmzYuGUv,0.842,0.681,4.0,-8.149,0.0,0.0544,0.0115,2.65e-06,0.113,0.238,96.017,232587.0,4.0
170,,Just A Girl,,['No Doubt'],6mfkHv00I6jhHIn7EWHJ2N,0.635,0.937,2.0,-2.86,1.0,0.0452,0.0741,7.29e-05,0.134,0.779,108.003,205947.0,4.0
171,,The Science of Selling Yourself Short,,['Less Than Jake'],1iD0a0plhO55cWEJa5UGcZ,0.719,0.815,5.0,-3.546,1.0,0.0305,0.16,0.0,0.0367,0.937,93.126,186267.0,4.0
172,,What Up Gangsta,,['50 Cent'],1CYyIsAaTrnmJ8MO2rec5f,0.68,0.767,11.0,-2.387,0.0,0.0397,0.00213,0.0,0.0996,0.344,82.518,179467.0,4.0
173,,The Tide Is High - Radio Mix,,['Atomic Kitten'],5WuVWOngcRkMOx9RRLCvui,0.776,0.693,7.0,-2.528,1.0,0.0314,0.0234,0.00177,0.0322,0.635,102.996,205360.0,4.0
174,,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),,"['Alicia Keys', 'Tony! Toni! Toné!', 'Jermaine Paul']",5dxHF4lrDimKqnI3GaZUmC,0.663,0.465,8.0,-9.711,0.0,0.0317,0.555,0.00183,0.125,0.279,127.932,284160.0,4.0
175,,Collie Man,,['Slightly Stoopid'],3Zjdqz7eOox8XU0zTCPL4P,0.61,0.706,0.0,-7.084,1.0,0.0483,0.183,0.000587,0.218,0.344,170.087,133080.0,3.0
176,,Ignition - Remix,,['R. Kelly'],5dNfHmqgr128gMY2tc5CeJ,0.795,0.523,1.0,-7.165,1.0,0.0423,0.061,0.0,0.0914,0.855,133.024,186067.0,4.0
177,,Amor Querido,,['Ram Herrera'],7Dod4VT1f76b5sekRUXGPN,0.642,0.469,9.0,-9.104,1.0,0.0274,0.552,1.67e-06,0.256,0.813,103.704,242467.0,4.0
178,,Frijolero,,['Molotov'],5YyetAy34sgROhslaW3BZc,0.774,0.653,2.0,-4.304,1.0,0.0361,0.107,0.0,0.0609,0.845,95.009,210133.0,4.0
179,,Y Control,,['Yeah Yeah Yeahs'],5tryzDT3iMMcONq3YHWgC9,0.427,0.965,0.0,-4.282,1.0,0.15,0.00404,0.00472,0.369,0.0654,131.948,240760.0,4.0
180,,Shit Hits The Fan,,"['Obie Trice', 'Dr. Dre']",1r3cH3Y1QGe8VseL8GEvn2,0.786,0.9,1.0,-0.839,1.0,0.205,0.0262,0.0235,0.306,0.627,91.984,292013.0,4.0
181,,Entra en Mi Vida,,['Sin Bandera'],4W6za66pgH7QBbeiU9kS1v,0.679,0.369,0.0,-7.979,1.0,0.03,0.551,0.0,0.106,0.314,138.011,248200.0,4.0
182,,Title and Registration,,['Death Cab for Cutie'],0hgEsoAu23ap8V5GFX9Y3i,0.752,0.544,9.0,-10.373,1.0,0.0314,0.343,0.0811,0.109,0.723,115.803,219267.0,4.0
183,,Linda Mujer,,['Lil Rob'],66KtKAAccVB258Aa7USGC8,0.737,0.541,4.0,-8.17,1.0,0.156,0.513,0.0214,0.284,0.598,147.025,268200.0,3.0
184,,"Ultimate - From ""Freaky Friday""/Soundtrack Version",,['Lindsay Lohan'],69Zl2MdeQE8twZdiMXJXxZ,0.487,0.807,1.0,-4.745,0.0,0.0383,0.00391,0.0,0.445,0.493,79.524,186867.0,4.0
185,,Black or White - Single Version,,['Michael Jackson'],6wdviVWctiZnY6tVn6bh6A,0.759,0.927,9.0,-2.768,1.0,0.051,0.11,0.029,0.374,0.96,115.075,198507.0,4.0
186,,I Don't Wanna Be Me,,['Type O Negative'],4eGHEHqoDMMejzPhRFTc7p,0.474,0.977,8.0,-8.651,0.0,0.15,0.024,0.604,0.0931,0.0449,100.557,308827.0,4.0
187,,Everybody's Fool,,['Evanescence'],0tWEB6BxbI48XN79QE1JbT,0.437,0.835,2.0,-5.076,0.0,0.0405,0.00145,2.27e-05,0.245,0.296,95.111,195880.0,4.0
188,,"Never Leave You (Uh Oooh, Uh Oooh)",,['Lumidee'],1AjQE5MtP5jHQMyDepbvLI,0.811,0.657,6.0,-6.197,1.0,0.362,0.0391,0.712,0.0798,0.777,199.958,184907.0,4.0
189,,Long Black Veil,,['Johnny Cash'],6VefT0jLDsYCQtlVFhPkic,0.515,0.162,0.0,-13.451,1.0,0.0402,0.949,2.77e-05,0.116,0.451,108.3,193400.0,3.0
190,,Nos Tienen Envida,,['Grupo Exterminador'],0J6P046rwbVwkhnEbwXfJY,0.644,0.609,1.0,-5.741,1.0,0.116,0.366,0.0,0.0763,0.718,152.868,221387.0,4.0
191,,Xhalation,,['Prince'],4mQOahpy6qsm7HIhyoH0Sg,0.441,0.134,0.0,-18.158,1.0,0.048,0.962,0.0167,0.146,0.0304,123.529,123707.0,4.0
192,,Baby Boy (feat. Sean Paul),,"['Beyoncé', 'Sean Paul']",4WY3HyGXsWqjFRCVD6gnTe,0.655,0.488,1.0,-9.17,1.0,0.22,0.0825,1.16e-06,0.221,0.791,91.025,244827.0,4.0
193,,Juro Que Nunca Volvere,,['Jenni Rivera'],7zf9VnCyarordJgf4lbDk4,0.514,0.528,8.0,-4.797,1.0,0.135,0.692,0.0,0.322,0.918,91.268,160147.0,4.0
194,,Out Of Control,,['Hoobastank'],6mjHiGwrRGE8LVCXVc5QDU,0.443,0.973,4.0,-4.386,0.0,0.133,0.00161,0.0,0.353,0.458,157.872,162107.0,4.0
195,,Debut Y Despedida,,['Los Angeles Negros'],1Ab8M5xfQ0nUTGSldQzAA2,0.446,0.245,4.0,-12.438,0.0,0.0405,0.475,0.0,0.16,0.228,141.522,174360.0,4.0
196,,Hey Mama,,['Black Eyed Peas'],6W3c6pmDgT04I0Nk87JFyK,0.865,0.877,11.0,-6.339,0.0,0.239,0.106,1.21e-06,0.597,0.942,100.177,214893.0,4.0
197,,Many Men (Wish Death),,['50 Cent'],1m14pmtptcjM7mdWyJyAoc,0.653,0.826,6.0,-2.93,0.0,0.354,0.0153,0.00146,0.131,0.416,108.52,256227.0,5.0
198,,Track XII,,['Der Blutharsch'],2d9Es1xuQZRfuN7mErRmX1,0.359,0.993,0.0,-4.194,1.0,0.14,0.0518,0.12,0.34,0.0361,129.967,340880.0,4.0
199,,Chariot,,['Gavin DeGraw'],4dygMGhvfENVhwRXmAscbl,0.28,0.779,7.0,-5.104,1.0,0.0513,0.0435,0.0,0.37,0.345,167.134,239173.0,4.0
