,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
53,She Let Herself Go,['George Strait'],1mIQiN9xMz58kfQO6wjOeX,0.659,0.572,6.0,-7.817,0.0,0.0252,0.0888,1.08e-05,0.0813,0.386,113.987,198213.0,4.0
54,Everytime We Touch,['Cascada'],5YJtMNWKe55yr49cyJgxva,0.633,0.976,8.0,-5.362,1.0,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,197124.0,4.0
55,Who You'd Be Today,['Kenny Chesney'],5Vkdh8GfdXmwyJjzPewMWM,0.646,0.431,2.0,-9.287,1.0,0.029,0.149,0.000428,0.108,0.248,145.855,254573.0,4.0
56,Better Days,['The Goo Goo Dolls'],2hiB8QxWic092OablwpoVC,0.486,0.595,7.0,-5.009,1.0,0.0302,0.00212,0.000264,0.0953,0.331,113.276,213267.0,4.0
57,Boondocks,['Little Big Town'],3duP6mBVDsHM8ioN7o7dAK,0.41,0.78,9.0,-5.391,1.0,0.0332,0.211,0.0,0.48,0.695,88.016,272347.0,4.0
58,Good Ride Cowboy,['The Sounds Of Garth Brooks'],1BXu4K8W7HXafUZo7MDlu4,0.538,0.842,9.0,-3.26,1.0,0.0599,0.198,0.0,0.115,0.62,136.036,194680.0,3.0
59,Soul Meets Body,['Death Cab for Cutie'],5yc59J3MR3tVDPTOgwgRI5,0.621,0.853,2.0,-5.735,0.0,0.0253,0.0767,3.26e-06,0.0893,0.714,128.142,229413.0,4.0
60,Don't Bother,Shakira,,,,,,,,,,,,,,
61,When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton,,,,,,,,,,,,,,
62,Hypnotize,['System Of A Down'],6oO7WMjD6kEvCITLbVj0mu,0.274,0.92,6.0,-4.096,1.0,0.0489,0.0303,0.000412,0.115,0.0397,154.016,189440.0,4.0
63,Nasty Girl,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",,,,,,,,,,,,,,
64,Twisted Transistor,['Korn'],77VW8u6inET54YAKN1RSnd,0.58,0.983,5.0,-3.291,0.0,0.0636,0.00043,0.00694,0.0801,0.416,110.053,188933.0,4.0
65,Rompe,['Daddy Yankee'],4UI35YrrAkSKd81S4xv0QZ,0.687,0.806,1.0,-6.019,0.0,0.0549,0.0358,5.83e-06,0.0569,0.534,176.064,189040.0,4.0
66,Touch It,['Busta Rhymes'],3HVJbdz0V402U5YggQK4Ao,0.658,0.551,1.0,-6.62,1.0,0.37,0.0043,0.000108,0.197,0.442,138.335,214960.0,5.0
67,Gotta Go,['Trey Songz'],5Q4lFAfvLhGB7DNcg2DwgA,0.675,0.635,5.0,-5.356,0.0,0.0632,0.161,0.0,0.48,0.562,82.21,247053.0,4.0
68,Miss Me Baby,['Chris Cagle'],4e4vO6bp5nSdP9G79O3qS6,0.526,0.569,1.0,-5.786,1.0,0.0259,0.185,0.0,0.0812,0.357,147.87,234653.0,4.0
69,Pump It (As Made Famous By Black Eyed Peas Instrumental Cover),['The Beat Mechanics'],6E5pe8Zb3Od3ToEBwRxHSt,0.736,0.824,1.0,-3.401,0.0,0.145,0.000628,0.942,0.325,0.755,153.609,217720.0,4.0
70,Shake,Ying Yang Twins Featuring Pitbull,,,,,,,,,,,,,,
71,Rodeo,['JUVENILE'],6TQi1WGLxAyy1itA3CqSlD,0.7,0.547,1.0,-7.907,1.0,0.156,0.0532,0.0,0.068,0.67,157.137,237947.0,3.0
72,Fresh Azimiz,Bow Wow Featuring J-Kwon & Jermaine Dupri,,,,,,,,,,,,,,
73,Seasons of Love - From the Motion Picture RENT,['Cast Of Rent'],3SnXIPWciHwAS04oKdPC0l,0.44,0.573,10.0,-5.42,1.0,0.0365,0.581,0.0,0.0777,0.442,178.192,183547.0,4.0
74,Better Life,['Keith Urban'],29Qqb1qYSjC1pSK8QPDnkp,0.618,0.832,2.0,-3.535,1.0,0.0374,0.0402,1.58e-05,0.033,0.8,104.942,283160.0,4.0
75,L.O.V.E.,['Ashlee Simpson'],7H2TYuu6OmqkxQD3LIZRC7,0.588,0.828,5.0,-3.309,0.0,0.0538,0.00298,0.00203,0.644,0.938,191.874,153053.0,4.0
76,Big Blue Note,['Toby Keith'],5g6vcZhxbwouWEBA3c7AgC,0.739,0.709,0.0,-7.106,1.0,0.0312,0.426,5.85e-05,0.226,0.758,115.301,177107.0,4.0
77,Bat Country,['Avenged Sevenfold'],3sHH7lklbfpcraDDvYnjo7,0.541,0.968,0.0,-4.129,1.0,0.0396,0.000248,8.28e-06,0.423,0.505,125.04,311813.0,4.0
78,Just Might (Make Me Believe),['Sugarland'],4MSnF5Ajr8P0LqC4Zd66DH,0.487,0.504,1.0,-5.207,1.0,0.0261,0.123,0.0,0.109,0.331,139.717,247800.0,4.0
79,Save Me,['Shinedown'],23SlyxzUtQtExgEButcOtR,0.524,0.816,11.0,-3.49,0.0,0.0308,0.00044,0.0,0.0777,0.252,116.026,213933.0,4.0
80,Perfect Situation,['Weezer'],1D7UBHqaPWDbBHs2S5YXge,0.47,0.806,6.0,-4.1,1.0,0.0328,0.0271,0.000142,0.2,0.403,93.853,254333.0,4.0
81,DOA,['Foo Fighters'],1QZFn6QUNHfCp8s06C91hw,0.462,0.913,2.0,-4.298,1.0,0.074,0.000189,0.00142,0.0671,0.72,145.522,252107.0,4.0
82,Looking for You,['Kirk Franklin'],7lXbmBVZsyhxsxBzodG1w3,0.81,0.72,1.0,-4.793,1.0,0.0503,0.0138,0.0,0.221,0.805,121.984,246560.0,4.0
83,More Than Words,['Frankie J'],1rAjqlDA4gQMKxyP1z99q8,0.739,0.408,7.0,-8.44,1.0,0.0293,0.372,0.0,0.357,0.459,100.021,241488.0,4.0
84,Rakata,['Wisin & Yandel'],5uVjUTstAPE3lhgjNSVGUB,0.872,0.785,1.0,-5.463,1.0,0.153,0.0303,0.0,0.0798,0.723,95.991,172853.0,4.0
85,Tonight I Wanna Cry,['Keith Urban'],61hmCqoIlTJjcVMMLhcH5n,0.579,0.385,7.0,-7.885,1.0,0.0256,0.88,2.17e-06,0.164,0.145,103.779,259507.0,4.0
86,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,,,,,,,,,,,,,,
87,My Old Friend,['Tim McGraw'],2AbgjLSmW8l5XaaR4nQE3w,0.463,0.819,4.0,-7.662,1.0,0.0357,0.212,0.000268,0.0599,0.591,183.998,217067.0,4.0
88,Yo (Excuse Me Miss),['Chris Brown'],7DFnq8FYhHMCylykf6ZCxA,0.536,0.612,4.0,-5.847,1.0,0.272,0.119,0.0,0.209,0.57,86.768,229040.0,4.0
89,Kerosene,['Miranda Lambert'],2yhhcHTfvLC0HzSajGYL0h,0.628,0.92,7.0,-3.252,1.0,0.0287,0.00687,5.34e-05,0.337,0.808,126.998,185800.0,4.0
90,Presidential,['Youngbloodz'],281kNQmgirthnKNA5LHQSs,0.682,0.523,2.0,-9.69,1.0,0.335,0.0237,0.0,0.18,0.366,170.049,241120.0,4.0
91,Boyfriend,['Ashlee Simpson'],1f0XxoeFQWM4mR4NxHu6DE,0.705,0.753,1.0,-3.114,0.0,0.0384,0.0321,6.69e-06,0.0655,0.906,128.047,179427.0,4.0
92,Your Man,['Josh Turner'],1WzAeadSKJhqykZFbJNmQv,0.744,0.637,6.0,-4.483,1.0,0.0241,0.337,0.000222,0.0696,0.785,100.511,211893.0,4.0
93,Remedy,['Seether'],5ynxx6zC4dgzsMHLYQ04Dc,0.55,0.952,8.0,-4.664,1.0,0.0924,0.000193,0.000666,0.0614,0.391,127.804,207213.0,4.0
94,Believe,['Brooks & Dunn'],4RBL1O2KXydgUhZrslOsn5,0.598,0.223,9.0,-9.842,1.0,0.0365,0.782,9.76e-05,0.102,0.211,117.308,338520.0,4.0
95,Hit The Floor,Twista Featuring Pitbull,,,,,,,,,,,,,,
96,Confessions Of A Broken Heart (Daughter To Father) - Radio,['Lindsay Lohan'],0x7663BmBYv7m1ejUzXHfd,0.574,0.721,8.0,-4.312,0.0,0.0335,0.0254,0.0,0.0952,0.159,120.033,220800.0,4.0
