year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,accuracy,recall,precision
2003,48.85957010465871,82.78577965526213,36.768746814398035,88.86377830013134,41.349085473492195,64.51316613560711,17.388376506058002,5.269160340030408,28.17444296208626,56.42693869166907,10.834401483731455,63.511758793353636,60.133455207436704,56.64559698444318,64.95944684866375
2004,53.45227572984433,84.58668932916467,36.1617816947286,90.64829386774394,48.99051013663055,63.24187812160839,14.22006096820358,13.339229339951636,44.47610977834097,57.37618827099267,27.59735457022388,58.445329840608416,62.046695254513295,56.875915671209064,64.68635728631502
2005,42.07590724122582,82.83775056338509,29.305304108274576,87.78486957032489,56.67211153808116,61.64533903601572,9.34975396644183,19.000376081319295,71.49225740222161,44.657538746279165,51.40273259990923,58.64705190542511,67.23745478281026,54.30363097886125,72.7886353076678
2006,36.70062879319134,92.02727789932773,20.836639394227745,94.20389926936352,58.77111712978892,57.13648144348977,0.0,0.7939043590663472,100.0,45.501320662884545,64.91485551126678,51.37335781183406,55.812887839764116,55.56091605236342,58.639602499998254
2007,31.503768320332963,86.12731698792285,26.016201845770897,92.87750213041494,62.70422827495333,48.917519592897435,9.710717946899733,13.874154002279287,67.41567349668532,40.27911133702101,60.4643131910823,50.8475381893891,67.79715440527382,53.16448384682977,73.95749243690443
2008,12.16672383912336,91.32782421988026,0.0,93.36008273267018,80.4771257253811,39.82385140957676,9.974765334432071,25.034154544912536,83.70900118393502,34.26137100377054,72.55180071278498,51.35971487129469,65.72353034752422,20.796678988761474,86.29477382941238
2009,0.0,100.0,55.88687351501014,100.0,86.08558684698546,33.28028897852796,3.972397810049437,7.520958354152324,95.45979924411255,29.78540313090914,100.0,46.808506184951135,59.790201613964925,47.621321812990075,65.53643776117215
2010,6.0745903927690055,95.02848742939221,41.85103874046668,98.21061892306867,80.44911635818059,39.41439766007351,16.53296405849767,12.247499127625856,94.12701281750401,33.00717045758006,71.98245793703569,48.98979453982765,62.110610603644204,48.494874516777756,68.23080475922036
2011,4.1604312347732,97.13594023644052,43.72454557327961,98.12391653456245,73.14788123708131,39.881217636573254,12.587850079078708,0.8505388541934207,75.69564862035813,26.814692221828224,79.94555909424732,43.93805198243366,71.72278629036047,80.42694313821637,69.6854856032601
2012,17.836069888753137,97.02799312566933,21.330107204605692,94.37057242802943,66.06952438483309,40.08247038275587,3.9634361874753963,7.914524775824641,71.54085115263223,31.173119779125276,67.93057384184065,47.29655385260977,40.686752713083294,37.38849907479989,42.716860993833954
2013,22.345782327519935,73.42595673155488,8.407269345426247,89.04627720414081,76.36125530312079,44.44699480862655,7.637145510909582,13.93504064448414,74.7695240376431,24.81137250013145,71.78615487773001,52.445966985333826,56.779044236201734,37.66979289095908,63.86382487759005
2014,34.82474662737672,74.68206193561626,36.59083251789317,88.2116934071776,78.17632850614423,35.60952159589579,18.7748040063646,9.106972734617349,61.500954712721146,24.40448188714636,59.52640696247398,44.11255571646537,45.50115416761595,46.702205044359964,45.253064030147506
2015,46.586999022292616,58.83287243745394,23.278830108882392,83.42369276850829,20.91901621684559,50.47103377895756,20.109134145254245,0.0,57.21093612462281,14.368038584590966,61.08766139694139,37.1737683369109,50.87725736680987,41.69457247564878,54.252730829847906
2016,52.150570835505725,43.41171190258863,40.36027263475154,76.4836601410204,15.238748680819922,67.17866193167767,29.950524217313436,2.2414925423838192,52.09265256353538,7.764698606575389,46.4980437873084,39.73235405031444,37.4359197549423,42.418832135446706,37.1371948944869
2017,86.10431585205977,28.39809261810374,23.186882382702485,73.55539622690985,21.23572292131579,87.82500172399502,39.42313259802377,7.214418449347979,4.917782134653817,5.962115317158561,60.844885601088706,30.382361152895015,27.307929484165534,27.913924156729138,29.35693281826252
2018,100.0,25.913665353138082,38.71647200053287,77.15851983709624,18.053644058752333,98.98936242559549,42.86651082390623,4.9652059230470815,37.735861476971756,0.0,63.294703858636794,19.51552591545634,19.99233532570891,12.856677995105295,22.967314359855408
2019,89.3462871453864,26.22879849578665,29.7909160538445,77.17257102142244,20.003521167789525,88.40334232812855,64.01199821429435,11.339965542788857,34.45576534603724,15.326914798266781,51.645346386222016,6.912060514136824,19.228491299909113,42.22194409963569,15.540944954546257
2020,99.40679909650648,25.679956316290003,17.159861184231,72.89272286587268,0.0,100.0,56.31864798612452,6.928940922401279,37.30494562901721,16.845309071823515,70.36749433990418,0.0,29.11630740734833,45.85394411328896,25.91397330801866
2021,66.40088418080308,20.29458222022816,28.423145210228206,68.86566778250412,34.898087789655186,93.93892138965106,64.85931367692791,1.943183335140211,40.50709648814801,17.410434264024204,58.96326255171538,5.556237612186747,0.0,0.0,0.0
