Unnamed: 0,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
47,1.0,Two Tribes,Two Tribes,Frankie Goes To Hollywood,['Frankie Goes To Hollywood'],5NN5MQyE3Lo91zAEHpGa7S,0.54,0.621,7.0,-13.165,1.0,0.0369,0.00292,0.00287,0.367,0.195,130.202,208133.0,4.0,10.0
99,0.7847222222222222,In The Name Of Love,In The Beginning?,Ralph MacDonald With Bill Withers,['Ralph MacDonald'],6mODgSoB568hk8P3YbkJ2d,0.0759,0.392,7.0,-13.143,1.0,0.0359,0.0153,0.423,0.0944,0.0371,174.984,687804.0,3.0,10.0
80,1.0,Tears,Tears,John Waite,['John Waite'],4yJwYm8Y9fKXD0Pjf9lWYh,0.464,0.648,0.0,-8.342,1.0,0.0306,0.004,0.0,0.159,0.581,124.215,238667.0,4.0,10.0
91,0.8857142857142857,LET's PRETEND WE'rE MARRIED,Let's Pretend We're Married - 2019 Remaster,Prince,['Prince'],1gaubSBzxXC1PyHGAzHbI3,0.787,0.668,10.0,-7.599,0.0,0.182,0.00875,0.000242,0.431,0.807,184.652,439994.0,4.0,10.0
25,1.0,Walking On A Thin Line,Walking On A Thin Line,Huey Lewis & The News,['Huey Lewis & The News'],1OU4uVYuoUOHfwriMnS1Km,0.673,0.601,2.0,-8.606,1.0,0.0308,0.00086,6.77e-05,0.103,0.679,128.242,310667.0,4.0,10.0
98,0.7808988764044944,Livin' In Desperate Times,(Livin' In) Desperate Times - Re-mixed Version / Remastered 2021,Olivia Newton-John,['Olivia Newton-John'],2qBFFvrWX7ylo3p0FA8mBj,0.674,0.694,10.0,-9.027,1.0,0.0676,0.159,0.000432,0.0463,0.832,94.024,243120.0,4.0,10.0
9,1.0,Valotte,Valotte,Julian Lennon,['Julian Lennon'],6lTaVAtnxa69VgRwxOcMsJ,0.571,0.512,0.0,-9.73,1.0,0.0259,0.238,0.0773,0.0998,0.188,72.17,257040.0,4.0,10.0
8,1.0,All I Need,All I Need,Jack Wagner,['Jack Wagner'],7LLBFAlUOE6rUHDePQL57a,0.475,0.375,9.0,-12.023,1.0,0.0282,0.468,0.0,0.162,0.166,140.277,209493.0,4.0,10.0
94,1.0,You Don't Believe,You Don't Believe,The Alan Parsons Project,['The Alan Parsons Project'],5vhDFOTm51TGtGaPTtcTKY,0.667,0.633,0.0,-10.836,0.0,0.0313,0.0683,4.12e-05,0.0725,0.574,122.827,266893.0,4.0,10.0
90,0.7478197674418605,Just The Way You Like It,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",The S.O.S. Band,['Justin Timberlake'],1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0.0,-5.721,1.0,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547.0,4.0,10.0
