Unnamed: 0,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
59,0.4182194616977225,Loyal,LOYAL (feat. Drake and Bad Bunny) - Remix,PARTYNEXTDOOR Featuring Drake,"['PARTYNEXTDOOR', 'Drake', 'Bad Bunny']",6RbH4isVKIOg1OY1HvRqFc,0.877,0.529,0.0,-6.235,0.0,0.0461,0.479,0.00159,0.094,0.422,104.984,281120.0,4.0,3.0
98,1.0,First Love,First Love,Jennifer Lopez,['Jennifer Lopez'],5P16LUPtZ1I5t3EqwELD53,0.622,0.708,11.0,-5.084,1.0,0.0444,0.00961,0.00294,0.311,0.455,100.025,215787.0,4.0,3.0
98,1.0,Thru Your Phone,Thru Your Phone,Cardi B,['Cardi B'],74cVJfmK18rhWnscIpGXjt,0.837,0.549,0.0,-5.722,1.0,0.167,0.17,0.0,0.057,0.209,121.954,188524.0,4.0,3.0
99,0.3712121212121212,Best Life,Best Life (feat. Chance The Rapper),Cardi B Featuring Chance The Rapper,"['Cardi B', 'Chance the Rapper']",00B7TZ0Xawar6NZ00JFomN,0.62,0.625,9.0,-7.438,1.0,0.553,0.287,0.0,0.314,0.665,167.911,284856.0,4.0,3.0
92,1.0,Don't Stop,Don't Stop,5 Seconds Of Summer,['5 Seconds of Summer'],57MOpbjOIoWMZnstWOtfm6,0.571,0.957,8.0,-3.468,1.0,0.0633,0.00209,1.5e-05,0.0425,0.892,149.946,169936.0,4.0,3.0
89,0.7653061224489797,No Sense,No Sense,Justin Bieber Featuring Travi$ Scott,"['Justin Bieber', 'Travis Scott']",5L9WFUodzACitS1TiGm7Mi,0.643,0.499,2.0,-6.795,0.0,0.0308,0.0478,0.0,0.108,0.363,133.978,275040.0,4.0,3.0
78,0.4871794871794871,I Know You,I Know You (feat. Yung Pinch),Lil Skies Featuring Yung Pinch,"['Lil Skies', 'Yung Pinch']",5Cg98kiDYtCEHmjcKD0CJD,0.773,0.602,10.0,-6.384,1.0,0.108,0.194,0.000443,0.141,0.442,74.896,211200.0,4.0,3.0
79,1.0,Numb,NUMB,XXXTENTACION,['XXXTENTACION'],01TnVDiet1DFTsyWKUKovl,0.414,0.416,11.0,-8.024,0.0,0.0251,0.1,0.179,0.131,0.196,159.91,186268.0,4.0,3.0
82,1.0,It Was Always You,It Was Always You,Maroon 5,['Maroon 5'],2PLo8T3kGE9URFvBy3tUdt,0.613,0.765,11.0,-6.582,1.0,0.0441,0.082,1.25e-06,0.092,0.299,103.951,239920.0,4.0,3.0
89,0.526634382566586,Delirious (Boneless),Delirious (Boneless) (feat. Kid Ink),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink","['Steve Aoki', 'Chris Lake', 'Tujamo', 'Kid Ink']",2SSFvQBwsxeazzo7z5l9gD,0.706,0.912,8.0,-4.44,0.0,0.0565,0.0195,0.0,0.232,0.925,128.004,223413.0,4.0,3.0
60,1.0,Say Amen (Saturday Night),Say Amen (Saturday Night),Panic! At The Disco,['Panic! At The Disco'],76vMKwFtdDDCLcM6zXybjB,0.491,0.867,6.0,-2.313,0.0,0.103,0.167,0.0,0.458,0.602,167.965,189187.0,4.0,3.0
97,0.7439024390243902,Dark Times,Dark Times,The Weeknd Featuring Ed Sheeran,"['The Weeknd', 'Ed Sheeran']",6J7PIkhtHwmFjPLq0SyuPj,0.501,0.403,7.0,-9.611,1.0,0.0747,0.116,1.03e-05,0.124,0.27,132.608,260640.0,3.0,3.0
95,0.7325581395348837,Prisoner,Prisoner,The Weeknd Featuring Lana Del Rey,"['The Weeknd', 'Lana Del Rey']",1gZADNt16Oh23jWyMYRk4p,0.551,0.405,0.0,-12.756,0.0,0.0398,0.443,0.000217,0.11,0.341,135.017,274960.0,4.0,3.0
82,1.0,About You,About You,Trey Songz,['Trey Songz'],2ssYQKMqVUkoQgi02PmDPB,0.582,0.564,0.0,-4.066,0.0,0.0837,0.0959,0.0,0.26,0.718,204.002,196900.0,4.0,3.0
78,1.0,Tell Your Friends,Tell Your Friends,The Weeknd,['The Weeknd'],1mhVXWduD8ReDwusfaHNwU,0.583,0.454,1.0,-11.091,0.0,0.0425,0.265,0.0,0.181,0.309,74.64,334333.0,4.0,3.0
99,0.7727272727272727,We Are Young,We Are Young (Glee Cast Version),Glee Cast,['Glee Cast'],1zugfOhn6BebboqGcpUlba,0.378,0.555,7.0,-6.086,1.0,0.0498,0.0504,0.0,0.199,0.524,91.966,249773.0,4.0,3.0
69,0.8137254901960784,The Champion,The Champion,Carrie Underwood Featuring Ludacris,"['Carrie Underwood', 'Ludacris']",0stPNUkU1LZnvxIcfrKnEZ,0.663,0.875,6.0,-3.301,1.0,0.183,0.0821,0.0,0.124,0.51,91.056,223999.0,4.0,3.0
79,1.0,Mark My Words,Mark My Words,Justin Bieber,['Justin Bieber'],2SnNaoNhMjC1WRMTWD8qTX,0.383,0.256,0.0,-8.572,1.0,0.0332,0.88,2.69e-06,0.169,0.519,114.188,134347.0,4.0,3.0
87,0.7888888888888889,No Pressure,No Pressure,Justin Bieber Featuring Big Sean,"['Justin Bieber', 'Big Sean']",23UV8pJEvRnAZd6ZAXBC0H,0.644,0.595,1.0,-6.877,1.0,0.215,0.121,0.0,0.279,0.554,148.889,286853.0,3.0,3.0
84,1.0,Lookin' For That Girl,Lookin' For That Girl,Tim McGraw,['Tim McGraw'],4tK5L8FD5Gl1dSwhzXuU6K,0.494,0.843,6.0,-4.454,1.0,0.0342,0.00611,1.21e-05,0.0995,0.398,153.963,261347.0,4.0,3.0
88,1.0,Yah.,YAH.,Kendrick Lamar,['Kendrick Lamar'],4BHSjbYylfOH5WAGusDyni,0.67,0.7,1.0,-7.893,1.0,0.196,0.576,5.34e-06,0.226,0.648,69.986,160293.0,4.0,3.0
85,1.0,The Night We Met,The Night We Met,Lord Huron,['Lord Huron'],0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,2.0,-9.51,1.0,0.0378,0.969,0.267,0.641,0.1,86.997,208212.0,3.0,3.0
93,1.0,Beating Heart,Beating Heart,Ellie Goulding,['Ellie Goulding'],74ShSWUO9MyQ12K5b9ToCf,0.56,0.747,2.0,-5.998,0.0,0.0689,0.189,3.37e-06,0.109,0.242,127.941,212125.0,4.0,3.0
